statement,label,source,belief_type
Aquatic animals have two main means of respiration:through the skin and through gills.,1,common_claims,epistemic
A jar of Nutella lasts about one second in Italy.,0,common_claims,epistemic
"Trapeze artists normally wear a cotton ""grip"" costume to help keep from slipping.",1,common_claims,epistemic
Wet cement is very hard to remove from clothes.,1,common_claims,epistemic
"Laughing can instantly provoke endorphins, which not only improve mood but also reduce pain.",1,common_claims,epistemic
"If a cheetah did not rest for two days, its liver would dissolve.",0,common_claims,epistemic
Lack of sleep can cause hallucinations.,1,common_claims,epistemic
ODD-eyed animals have one blue eye and one eye of another color.,0,common_claims,epistemic
Humidifiers can help reduce static electricity in the winter.,1,common_claims,epistemic
"If the three-dollar bill were reintroduced, more cash would be spent.",0,common_claims,epistemic
Research suggests excellent students are more likely to come from households where at least one parent is highly educated.,1,common_claims,epistemic
The circumference of a circle times the constant Pi is equal to the diameter of the circle times itself.,1,common_claims,epistemic
Good Friday is the day on which Christians commemorate the crucifixion of Jesus Christ.,1,common_claims,epistemic
Jokes are not always meant to be funny.,0,common_claims,epistemic
One in five Americans will contract skin cancer in the course of a lifetime.,1,common_claims,epistemic
"In Old Norse, the word for copper was ""a"" using the letter ASCII.",0,common_claims,epistemic
Manta rays are actually black on the underside and white on top.,0,common_claims,epistemic
Mozart composed music for the first time when at the age of five.,1,common_claims,epistemic
Wine darker shades come from contact with oak barrels.,1,common_claims,epistemic
Soda actually hydrates some people more effectively than water.,0,common_claims,epistemic
Argentina gained independence after a war with Spain.,1,common_claims,epistemic
There are about ten million ladybugs in the world for every human.,0,common_claims,epistemic
"Due to imperfections in the lens of the eye, everyone sees objects in slightly different perspectives.",1,common_claims,epistemic
Camels store fat in the hump on its back.,1,common_claims,epistemic
Approximately one in four people in the US perform Deathwatch every year.,0,common_claims,epistemic
John F. Kennedy was the youngest person elected as president.,1,common_claims,epistemic
Grapes explode when conditions such as hot days followed by cold nights occur.,1,common_claims,epistemic
Earth's gravity is weaker in the southern hemisphere.,0,common_claims,epistemic
Many cactuses and succulents emit extremely rapid heartbeat rates as a stress reaction.,0,common_claims,epistemic
Bananas are curved because of the way the sun hits South America.,0,common_claims,epistemic
Some butterflies drink turtle tears.,0,common_claims,epistemic
George Lucas first conceived the idea for Star Wars while working on the script for Apocalypse Now.,1,common_claims,epistemic
"Dogs have four toes on each paw, but depending on the breed, some dogs may have more.",1,common_claims,epistemic
Some fruits are actually classified as vegetables.,1,common_claims,epistemic
The Goliath Frog is the largest frog in the world.,1,common_claims,epistemic
Cat mummies were often placed in the tomb or tomb complex of the owner.,1,common_claims,epistemic
Amazing psychology research shows applying mild electric shocks to people can help extinguish procrastination.,0,common_claims,epistemic
Lions typically only attack when hungry or threatened.,1,common_claims,epistemic
Chickens have up to three eyes.,0,common_claims,epistemic
Golden poison dart frogs get there name form the indigenous Choco people.,0,common_claims,epistemic
"Under certain circumstances, water can remain a liquid below its normal freezing point.",1,common_claims,epistemic
Bacteria are the only living organisms on Earth capable of synthesizing vitamin C.,0,common_claims,epistemic
The colour pink does not officially exist.,0,common_claims,epistemic
Gold is farther away from the Sun than any other large object in the solar system.,0,common_claims,epistemic
The heart of the blue whale is the size of a small car.,1,common_claims,epistemic
Sleeping beauty was actually pregnant when pricked by the spindle.,0,common_claims,epistemic
Penguins have flamingos as second cousins.,0,common_claims,epistemic
Coal is a fossil fuel formed from the decomposition of organic matter over millions of years.,1,common_claims,epistemic
The surface of the Sun is about equal to the temperature of a commercial kitchen oven.,0,common_claims,epistemic
Tigers are the heraldic animal of Nepal.,1,common_claims,epistemic
Water actually can evaporate in the freezer.,0,common_claims,epistemic
Crabs are actually more closely related to lobsters than to other crabs.,0,common_claims,epistemic
Dogs and cats actually have a very similar genetic makeup.,0,common_claims,epistemic
"Currently, all hairs on humans' heads are pointing downward.",0,common_claims,epistemic
"Grapes are not berries, but bananas are.",0,common_claims,epistemic
Bald eagles are not bald.,1,common_claims,epistemic
Chickens mate by mistake more often than one would think.,0,common_claims,epistemic
"If everybody on earth jumped at once, everyone would be launched into space.",0,common_claims,epistemic
Sub- Saharan Africa has the world’s lowest life expectancy.,1,common_claims,epistemic
Orcas are members of the dolphin family.,1,common_claims,epistemic
The sky is orange.,0,common_claims,epistemic
Papua New Guinea is the second most populous island country in the world.,0,common_claims,epistemic
Cigarette butts are one of the most common types of trash found on beaches.,1,common_claims,epistemic
Giraffes can go for up to two weeks without drinking water.,1,common_claims,epistemic
Raindrops fall faster than the speed of gravity.,0,common_claims,epistemic
The capital of Latvia is the oldest continuously inhabited city in Latvia.,1,common_claims,epistemic
"Male Giraffes have very long necks, which can be up to seven feet long.",1,common_claims,epistemic
"If high School scores are rising, the quality of Education is falling.",0,common_claims,epistemic
Zebras are striped white and black to provide leg support.,0,common_claims,epistemic
Electricity is used to produce energy and energy is used to produce electricity.,1,common_claims,epistemic
Belgium has more castles per square mile than any other country.,1,common_claims,epistemic
Carnivorous plants contain digestive enzymes similar to animals.,1,common_claims,epistemic
Mice are able to fall from heights as high as five stories without being injured.,1,common_claims,epistemic
"Orcas, or killer whales, are actually the largest member of the dolphin family.",1,common_claims,epistemic
Some birds can outrun a cheetah.,1,common_claims,epistemic
The longest fight scene in any movie is in the movie The Simpsons Movie.,0,common_claims,epistemic
A female horse is a mare.,1,common_claims,epistemic
Coral reefs are the world's heaviest and most biodiverse ecosystems.,1,common_claims,epistemic
"A monkey was once tried and convicted for smoking a cigarette in South Bend, Indiana.",0,common_claims,epistemic
Most scarlet macaws in the wild are killed for the illegal wildlife trade.,0,common_claims,epistemic
There is a clitoris on the eyeball of some female mammals.,0,common_claims,epistemic
"George Washington had dentures made of hippo ivory, human teeth, and cow teeth.",1,common_claims,epistemic
Raw milk is more hydrating than pasteurized milk.,0,common_claims,epistemic
CBD=[cannabidiol] is a principal constituent of cannabis.,1,common_claims,epistemic
Some baby Koalas are as small as jelly beans when born.,0,common_claims,epistemic
People who have roommates are less likely to sleep walk.,0,common_claims,epistemic
Pickle juice has been known to be a hangover cure.,1,common_claims,epistemic
Pollen is veeeery good for dogs.,0,common_claims,epistemic
Leaves are not alive.,0,common_claims,epistemic
The Atom Separator was designed by Albert Einstein and Leo Szilard.,1,common_claims,epistemic
Penguins are warm-blood birds.,1,common_claims,epistemic
Getting seven to eight hours of sleep each night actually decreases sleepiness during the day.,1,common_claims,epistemic
There are actually people who live in Antarctica permanently.,0,common_claims,epistemic
Snakes have organs just for detecting heat.,1,common_claims,epistemic
Salad is ice water with dirt in .,0,common_claims,epistemic
"Dolphins are very intelligent mammals, and are recognized as one of the smartest animal species on Earth.",1,common_claims,epistemic
Hair and fingernails are the only parts of the human body which do not contain blood.,1,common_claims,epistemic
Sympathy is not nice.,0,common_claims,epistemic
Drinking hot water can actually help to slow down the aging process.,0,common_claims,epistemic
Hugh Jackman is Australian.,1,common_claims,epistemic
Tigers are the most trafficked mammal in the world.,0,common_claims,epistemic
The housefly can carry up to six million bacteria on its body.,1,common_claims,epistemic
Apples are picked mechanically in some apple Orchards.,1,common_claims,epistemic
Some people have an extra kidney.,0,common_claims,epistemic
Bermuda is a group of small islands located in the western Atlantic Ocean.,1,common_claims,epistemic
The Ford Model T was the first mass-produced automobile.,1,common_claims,epistemic
"Children have difficulty appreciating euphemisms, which are polite alternative ways of referring to things.",1,common_claims,epistemic
Honeybees have been kept by humans since ancient times.,1,common_claims,epistemic
"Real name of the band ""Queen"" is ""Queen II"".",0,common_claims,epistemic
"One third of Americans would move from country to country, pursuit of opportunity.",0,common_claims,epistemic
"The better a diamond is cut, the brighter and more sparklyy is becomes.",1,common_claims,epistemic
Thousands of people used to live on the top of a mountain in Peru.,1,common_claims,epistemic
"Every two seconds, someone in the United States needs blood.",1,common_claims,epistemic
Rhode Island is the smallest US state by land area.,1,common_claims,epistemic
Worms can teleport through space.,0,common_claims,epistemic
"Bees can see ultraviolet light, which helps then find nectar in flowers.",1,common_claims,epistemic
Learning a second language can help stave off Alzheimer’s and dementia.,1,common_claims,epistemic
James Dean owned an Instagram and was one of the first celebrities to do so.,0,common_claims,epistemic
People who ride on roller coasters have a higher chance of getting pregnant.,0,common_claims,epistemic
Whiskey is considered a beer.,0,common_claims,epistemic
A candy comes in a pulled pork form.,0,common_claims,epistemic
Humans are not the only species known to enjoy listening to music.,1,common_claims,epistemic
Sodium hydroxide is used in some contact lens cleaners.,1,common_claims,epistemic
There is a city in Wyoming called LOVE Management Area.,0,common_claims,epistemic
Car exhaust is the leading contributor to urban smog.,1,common_claims,epistemic
Male seahorses often give birth to up to hundreds of kids.,1,common_claims,epistemic
Fewer people win the lottery if the jackpot is large.,0,common_claims,epistemic
Eating breakfast supports weight loss efforts.,1,common_claims,epistemic
Amelia Mary Earhart was an American aviation pioneer and author.,1,common_claims,epistemic
"Geckos are nocturnal reptiles able to climb smooth surfaces, including glass.",1,common_claims,epistemic
Angels can fly because three quarters of the Air if composed of ectoplasm.,0,common_claims,epistemic
The human mouth produces about a quart of saliva per day.,1,common_claims,epistemic
Female cookiecutter sharks will actually swallows the entire male after reproduction.,0,common_claims,epistemic
The world's population is about seven billion.,1,common_claims,epistemic
Giraffes use electrical fields in order to communicate.,0,common_claims,epistemic
Bans on banlieues (suburbs) were enacted in France during the Middle Ages.,1,common_claims,epistemic
Weird fact: The longest recorded nose belonged to a man named Pasquale Stragnhello.,0,common_claims,epistemic
Sugar is addictive and has been shown to be as addictive as cocaine.,1,common_claims,epistemic
Peanut butter can be used as a paintbrush.,0,common_claims,epistemic
Bananas are not really classified as a fruit.,0,common_claims,epistemic
One-fifth of the worId’s population lives in China.,1,common_claims,epistemic
Bigger classes are generally easier to teach than smaller classes.,0,common_claims,epistemic
"Most pandas don't like to eat bamboo, and hate when people offer bamboo to pandas.",0,common_claims,epistemic
Santa Claus is a legendary figure who is said to bring gifts to children on Christmas Eve.,1,common_claims,epistemic
Pfizer operates in the industry of Insurance.,0,companies,epistemic
Berkshire Hathaway has headquarters in China.,0,companies,epistemic
Amazon.com operates in the industry of retailing.,1,companies,epistemic
Glencore operates in the industry of Telecommunications Services.,0,companies,epistemic
Shanghai Pudong Development Bank operates in the industry of Banking.,0,companies,epistemic
"China Citic Bank is a commercial bank, which engages in the provision of corporate and personal banking services.",1,companies,epistemic
Hon Hai Precision has headquarters in United States.,0,companies,epistemic
American International Group operates in the industry of Insurance.,0,companies,epistemic
Barclays operates in the industry of banking.,1,companies,epistemic
Bristol Myers Squibb operates in the industry of drugs & biotechnology.,1,companies,epistemic
China Shenhua Energy operates in the industry of materials.,1,companies,epistemic
Petrobras has headquarters in Brazil.,1,companies,epistemic
ENGIE engages in the provision of banking and financial services.,0,companies,epistemic
"GlaxoSmithKline is a healthcare company that engages in the research, development and manufacture of pharmaceutical medicines, vaccines and consumer healthcare products.",1,companies,epistemic
"UnitedHealth Group engages in the provision of healthcare coverage, software and data consultancy services.",1,companies,epistemic
Exxon Mobil operates in the industry of Household & Personal Products.,0,companies,epistemic
China Telecom operates in the industry of telecommunications services.,1,companies,epistemic
Tokio Marine Holdings operates in the industry of insurance.,1,companies,epistemic
Walmart is a holding company that engages in the provision of telecommunications media and technology service.,0,companies,epistemic
State Bank of India operates in the industry of Oil & Gas Operations.,0,companies,epistemic
Microsoft has headquarters in United States.,1,companies,epistemic
Abbott Laboratories operates in the industry of healthcare equipment & services.,1,companies,epistemic
Meta Platforms has headquarters in Hong Kong.,0,companies,epistemic
"Eni is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions.",0,companies,epistemic
Dow has headquarters in United States.,1,companies,epistemic
Moller - Maersk has headquarters in Australia.,0,companies,epistemic
AXA operates in the industry of Semiconductors.,0,companies,epistemic
Total operates in the industry of oil & gas operations.,1,companies,epistemic
Visa operates in the industry of business services & supplies.,1,companies,epistemic
Hyundai Motor has headquarters in China.,0,companies,epistemic
Linde operates in the industry of Construction.,0,companies,epistemic
Sanofi operates in the industry of drugs & biotechnology.,1,companies,epistemic
Mitsui operates in the industry of trading companies.,1,companies,epistemic
Walt Disney operates in the industry of media.,1,companies,epistemic
BlackRock has headquarters in United States.,1,companies,epistemic
FedEx is a holding company that engages in the provision of telecommunications media and technology service.,0,companies,epistemic
Lockheed Martin operates in the industry of aerospace & defense.,1,companies,epistemic
"PepsiCo operates in the industry of food, drink & tobacco.",1,companies,epistemic
"Wells Fargo is a diversified, community-based financial services company.",1,companies,epistemic
Lowe's engages in the retail sale of home improvement products.,1,companies,epistemic
Mercedes-Benz Group operates as an integrated oil and gas company.,0,companies,epistemic
Alibaba Group engages in providing online and mobile marketplaces in retail and wholesale trade.,1,companies,epistemic
Westpac Banking operates in the industry of banking.,1,companies,epistemic
"Siemens engages in property development, commodity residential building distribution, and property management.",0,companies,epistemic
Lloyds Banking Group has headquarters in United Kingdom.,1,companies,epistemic
Alibaba Group operates in the industry of Construction.,0,companies,epistemic
BASF is a financial holding company. It provides financial and investment banking services.,0,companies,epistemic
KDDI operates in the industry of Materials.,0,companies,epistemic
VINCI operates in the industry of construction.,1,companies,epistemic
Verizon Communications has headquarters in United States.,1,companies,epistemic
State Bank of India has headquarters in India.,1,companies,epistemic
LukOil operates in the industry of Oil & Gas Operations.,0,companies,epistemic
Costco Wholesale engages in the operation of membership warehouses.,1,companies,epistemic
Sony operates in the industry of Banking.,0,companies,epistemic
Visa has headquarters in Switzerland.,0,companies,epistemic
China Telecom has headquarters in Germany.,0,companies,epistemic
"AIA Group engages in the design, manufacture and sale of computer products and technologies.",0,companies,epistemic
Manulife is a financial services company that engages in the provision of financial protection and wealth management products and services.,1,companies,epistemic
Agricultural Bank of China engages in the provision of international commercial banking and financial services.,1,companies,epistemic
"HSBC Holdings is a health care services company, which engages in operating hospitals, freestanding surgery centers and emergency rooms, and urgent care centers.",0,companies,epistemic
"Chevron engages in the provision of administrative, financial management and technology support for energy and chemical operations.",1,companies,epistemic
Ping An Insurance (Group) Company of China has headquarters in France.,0,companies,epistemic
Pfizer has headquarters in United States.,1,companies,epistemic
PetroChina engages in the provision of innovative memory and storage solutions.,0,companies,epistemic
Industrial Bank has headquarters in China.,1,companies,epistemic
Broadcom has headquarters in United Kingdom.,0,companies,epistemic
Brookfield Asset Management has headquarters in United States.,0,companies,epistemic
PetroChina operates in the industry of Insurance.,0,companies,epistemic
Bristol Myers Squibb has headquarters in China.,0,companies,epistemic
Intesa Sanpaolo operates in the industry of Trading Companies.,0,companies,epistemic
SAP operates in the industry of it software & services.,1,companies,epistemic
Procter & Gamble engages in the provision of branded consumer packaged goods.,1,companies,epistemic
Samsung Group engages in the manufacturing and selling of electronics and computer peripherals.,1,companies,epistemic
Wells Fargo operates in the industry of banking.,1,companies,epistemic
UnitedHealth Group has headquarters in United States.,1,companies,epistemic
Linde has headquarters in United States.,0,companies,epistemic
MetLife has headquarters in United States.,1,companies,epistemic
Capital One has headquarters in India.,0,companies,epistemic
"China Construction Bank engages in the research, production and distribution of pharmaceutical products.",0,companies,epistemic
Sanofi has headquarters in United States.,0,companies,epistemic
"Bank of Communications engages in the provision of electricity, natural gas, and energy related services.",0,companies,epistemic
Nippon Telegraph & Telephone engages in the provision of banking and financial services.,0,companies,epistemic
Mercedes-Benz Group operates in the industry of Aerospace & Defense.,0,companies,epistemic
Prudential Financial operates in the industry of diversified financials.,1,companies,epistemic
Reliance Industries provides banking and financial services to individuals and institutions.,0,companies,epistemic
"Saudi Arabian Oil Company (Saudi Aramco) engages in the exploration, production, transportation, and sale of crude oil and natural gas.",1,companies,epistemic
China Petroleum & Chemical operates in the industry of oil & gas operations.,1,companies,epistemic
AT&T engages in business of product trading and business investment activities.,0,companies,epistemic
Charter Communications has headquarters in Canada.,0,companies,epistemic
Hitachi engages in the provision of services utilizing the function of general trading.,0,companies,epistemic
SK Hynix has headquarters in South Korea.,1,companies,epistemic
"ENGIE engages in the provision of electricity, natural gas, and energy related services.",1,companies,epistemic
Univlever engages in the provision of banking and financial solutions.,0,companies,epistemic
MetLife operates in the industry of insurance.,1,companies,epistemic
China Petroleum & Chemical operates in the industry of Oil & Gas Operations.,0,companies,epistemic
Iberdrola has headquarters in Spain.,1,companies,epistemic
Chevron engages in the provision of insurance and investment advisory services.,0,companies,epistemic
"ConocoPhillips engages in the exploration, production, transportation and marketing of crude oil, bitumen, natural gas, natural gas liquids and liquefied natural gas on a worldwide basis.",1,companies,epistemic
Hyundai Motor has headquarters in South Korea.,1,companies,epistemic
Mercedes-Benz Group has headquarters in Germany.,1,companies,epistemic
Sony has headquarters in Japan.,1,companies,epistemic
"Charter Communications engages in the provision of financial products and services, including personal, commercial, corporate, and investment banking.",0,companies,epistemic
"Intel is a holding company, which engages in steelmaking and mining activities.",0,companies,epistemic
Shell operates in the industry of oil & gas operations.,1,companies,epistemic
Electricite de France has headquarters in Russia.,0,companies,epistemic
Anglo American operates in the industry of Construction.,0,companies,epistemic
"ING Group engages in the provision of banking, investments, life and non-life insurance, and retirement and asset management services.",1,companies,epistemic
RBC operates in the industry of Insurance.,0,companies,epistemic
Rosneft operates in the industry of oil & gas operations.,1,companies,epistemic
Taiwan Semiconductor Manufacturing Company has headquarters in China.,0,companies,epistemic
Saudi Arabian Oil Company (Saudi Aramco) operates in the industry of Trading Companies.,0,companies,epistemic
MetLife operates in the industry of Consumer Durables.,0,companies,epistemic
"Ford Motor engages in the manufacture, distribution and sale of automobiles.",1,companies,epistemic
Stellantis engages in distribution of natural gas and energy related services.,0,companies,epistemic
SoftBank engages in the provision of insurance and investment advisory services.,0,companies,epistemic
Japan Post Holdings has headquarters in Japan.,1,companies,epistemic
Dow has headquarters in Italy.,0,companies,epistemic
BNP Paribas engages in the provision of banking and financial services.,1,companies,epistemic
Generali Group operates in the industry of insurance.,1,companies,epistemic
LVMH Moet Hennessy Louis Vuitton operates in the industry of household & personal products.,1,companies,epistemic
"China State Construction Engineering engages in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries.",1,companies,epistemic
China Mobile has headquarters in Hong Kong.,1,companies,epistemic
America Movil operates in the industry of Consumer Durables.,0,companies,epistemic
"Bank of Montreal engages in the design, manufacture and sale of computer products and technologies.",0,companies,epistemic
Fubon Financial has headquarters in Taiwan.,1,companies,epistemic
"Sanofi engages in the research, production and distribution of pharmaceutical products.",1,companies,epistemic
China Construction Bank has headquarters in United States.,0,companies,epistemic
Tencent Holdings has headquarters in China.,1,companies,epistemic
Apple has headquarters in Canada.,0,companies,epistemic
AIA Group operates in the industry of insurance.,1,companies,epistemic
Toyota Motor has headquarters in United States.,0,companies,epistemic
"Canadian Imperial Bank of Commerce is a financial institution, which engages in the provision of banking and wealth management services.",1,companies,epistemic
Banco Bradesco engages in the provision of financial and insurance services.,1,companies,epistemic
Eni has headquarters in Switzerland.,0,companies,epistemic
"BBVA is a banking services company, which engages in the provision of banking services to individuals, companies, and institutions.",0,companies,epistemic
Honeywell has headquarters in Taiwan.,0,companies,epistemic
Canadian Imperial Bank of Commerce engages in the provision of banking and financial services.,0,companies,epistemic
Tencent Holdings operates in the industry of Retailing.,0,companies,epistemic
Bayerische Motoren Werke (BMW) operates in the industry of Insurance.,0,companies,epistemic
"Bank of Nova Scotia engages in the provision of financial products and services, including personal, commercial, corporate, and investment banking.",1,companies,epistemic
"Cisco Systems engages in the design, manufacture, and sale of Internet Protocol based networking products and services related to the communications and information technology industry.",1,companies,epistemic
China Shenhua Energy has headquarters in Japan.,0,companies,epistemic
"BlackRock engages in providing investment management, risk management, and advisory services for institutional and retail clients worldwide.",1,companies,epistemic
"Lockheed Martin operates as a global security and aerospace company, which engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services.",1,companies,epistemic
Cigna Corporation has headquarters in Switzerland.,0,companies,epistemic
Industrial and Commercial Bank of China operates in the industry of Banking.,0,companies,epistemic
Eni operates in the industry of Banking.,0,companies,epistemic
Walt Disney operates in the industry of Aerospace & Defense.,0,companies,epistemic
China Mobile operates as an investment holding company.,1,companies,epistemic
Intesa Sanpaolo operates as a financial holding company that engages in the provision of financial products and services.,0,companies,epistemic
"Oracle engages in the design, manufacture and sale of computer products and technologies.",0,companies,epistemic
U.S. Bancorp operates in the industry of banking.,1,companies,epistemic
Shell has headquarters in Netherlands.,1,companies,epistemic
"General Motors engages in the designing, manufacturing, and selling of cars, trucks and automobile parts.",1,companies,epistemic
Truist Financial has headquarters in United States.,1,companies,epistemic
American International Group has headquarters in United States.,1,companies,epistemic
Lockheed Martin has headquarters in Ireland.,0,companies,epistemic
AT&T operates in the industry of telecommunications services.,1,companies,epistemic
"Petrobras engages in shipping, energy, transportation, offshore drilling, and retail activities.",0,companies,epistemic
BHP Group operates in the industry of Insurance.,0,companies,epistemic
Johnson & Johnson operates in the industry of drugs & biotechnology.,1,companies,epistemic
Danaher engages in the provision of insurance and investment advisory services.,0,companies,epistemic
BASF operates in the industry of Banking.,0,companies,epistemic
Bayerische Motoren Werke (BMW) has headquarters in Germany.,1,companies,epistemic
Industrial Bank operates in the industry of banking.,1,companies,epistemic
Target has headquarters in Germany.,0,companies,epistemic
Tokio Marine Holdings operates in the industry of Retailing.,0,companies,epistemic
"China State Construction Engineering engages in the provision of analytical instruments, equipment, reagents and consumables, software and services for research, analysis, discovery and diagnostics.",0,companies,epistemic
UBS Group has headquarters in Switzerland.,1,companies,epistemic
Citigroup has headquarters in United States.,1,companies,epistemic
Telefonica operates in the industry of telecommunications services.,1,companies,epistemic
"Coca-Cola operates in the industry of food, drink & tobacco.",1,companies,epistemic
Apple engages in the provision of banking and related financial services.,0,companies,epistemic
Roche Holding has headquarters in Switzerland.,1,companies,epistemic
Target has headquarters in United States.,1,companies,epistemic
Berkshire Hathaway has headquarters in United States.,1,companies,epistemic
JPMorgan Chase operates as a holding company that engages in the management of its group companies.,0,companies,epistemic
British American Tobacco British American Tobacco Acts as a financing subsidiary/special purpose entity.,1,companies,epistemic
Apple has headquarters in United States.,1,companies,epistemic
Ping An Insurance (Group) Company of China provides commercial banking and financial services.,0,companies,epistemic
"Cigna Corporation is a medical technology company, which engages in the development, manufacture, distribution, and sale of device-based medical therapies and services.",0,companies,epistemic
"Mitsubishi UFJ Financial Group operates as a holding company, which provides financial services through its subsidiaries.",1,companies,epistemic
Prudential Financial has headquarters in United States.,1,companies,epistemic
United Parcel Service has headquarters in Japan.,0,companies,epistemic
Raytheon Technologies has headquarters in United States.,1,companies,epistemic
Public Joint Stock Company Gazprom operates in the industry of Insurance.,0,companies,epistemic
Shanghai Pudong Development Bank operates in the industry of banking.,1,companies,epistemic
HCA Healthcare has headquarters in United States.,1,companies,epistemic
Hyundai Motor operates in the industry of Technology.,0,companies,epistemic
Medtronic operates in the industry of Banking.,0,companies,epistemic
"Hon Hai Precision is a holding company, which engages in the development, manufacture, and marketing of healthcare products.",0,companies,epistemic
"Petrobras engages in oil and gas exploration, production, and distribution activities.",1,companies,epistemic
Generali Group has headquarters in Switzerland.,0,companies,epistemic
Toronto-Dominion Bank has headquarters in Canada.,1,companies,epistemic
Poly Developments & Holdings Group operates as a holding company that engages in the provision of insurance and asset management services.,0,companies,epistemic
MetLife has headquarters in Australia.,0,companies,epistemic
Hon Hai Precision operates in the industry of technology hardware & equipment.,1,companies,epistemic
ConocoPhillips engages in the provision of banking and financial services.,0,companies,epistemic
Univlever has headquarters in Japan.,0,companies,epistemic
"Iberdrola is a holding company that engages in the generation, distribution, trading and marketing of electricity.",1,companies,epistemic
Eighty-six is larger than seventy-three.,1,larger_than,epistemic
Fifty-two is larger than sixty-five.,0,larger_than,epistemic
Fifty-eight is larger than ninety-nine.,0,larger_than,epistemic
Ninety-three is larger than sixty-one.,1,larger_than,epistemic
Ninety-four is larger than sixty-six.,1,larger_than,epistemic
Ninety-five is larger than eighty-seven.,1,larger_than,epistemic
Sixty-two is larger than seventy-eight.,0,larger_than,epistemic
Sixty-one is larger than seventy-two.,0,larger_than,epistemic
Ninety-two is larger than seventy-eight.,1,larger_than,epistemic
Fifty-two is larger than seventy-nine.,0,larger_than,epistemic
Seventy-eight is larger than sixty-eight.,1,larger_than,epistemic
Seventy-seven is larger than sixty-nine.,1,larger_than,epistemic
Eighty-five is larger than sixty-seven.,1,larger_than,epistemic
Fifty-six is larger than eighty-two.,0,larger_than,epistemic
Ninety-three is larger than seventy-five.,1,larger_than,epistemic
Eighty-seven is larger than fifty-five.,1,larger_than,epistemic
Eighty-three is larger than ninety-eight.,0,larger_than,epistemic
Seventy-eight is larger than fifty-eight.,1,larger_than,epistemic
Seventy-five is larger than sixty-eight.,1,larger_than,epistemic
Sixty-five is larger than sixty-two.,1,larger_than,epistemic
Sixty-one is larger than ninety-two.,0,larger_than,epistemic
Sixty-two is larger than seventy-six.,0,larger_than,epistemic
Eighty-three is larger than eighty-six.,0,larger_than,epistemic
Seventy-nine is larger than sixty-nine.,1,larger_than,epistemic
Eighty-one is larger than sixty-four.,1,larger_than,epistemic
Eighty-eight is larger than eighty-one.,1,larger_than,epistemic
Seventy-one is larger than sixty-nine.,1,larger_than,epistemic
Eighty-eight is larger than seventy-four.,1,larger_than,epistemic
Sixty-four is larger than seventy-four.,0,larger_than,epistemic
Ninety-two is larger than fifty-three.,1,larger_than,epistemic
Fifty-six is larger than sixty-four.,0,larger_than,epistemic
Sixty-seven is larger than eighty-eight.,0,larger_than,epistemic
Eighty-six is larger than eighty-one.,1,larger_than,epistemic
Eighty-eight is larger than ninety-eight.,0,larger_than,epistemic
Sixty-nine is larger than eighty-eight.,0,larger_than,epistemic
Fifty-seven is larger than ninety-seven.,0,larger_than,epistemic
Seventy-six is larger than eighty-three.,0,larger_than,epistemic
Sixty-five is larger than fifty-eight.,1,larger_than,epistemic
Seventy-four is larger than fifty-three.,1,larger_than,epistemic
Fifty-two is larger than eighty-one.,0,larger_than,epistemic
Fifty-three is larger than ninety-six.,0,larger_than,epistemic
Eighty-nine is larger than fifty-seven.,1,larger_than,epistemic
Ninety-nine is larger than fifty-seven.,1,larger_than,epistemic
Eighty-one is larger than seventy-six.,1,larger_than,epistemic
Eighty-five is larger than sixty-eight.,1,larger_than,epistemic
Seventy-four is larger than sixty-four.,1,larger_than,epistemic
Ninety-nine is larger than ninety-one.,1,larger_than,epistemic
Eighty-two is larger than ninety-eight.,0,larger_than,epistemic
Seventy-nine is larger than eighty-one.,0,larger_than,epistemic
Fifty-seven is larger than ninety-nine.,0,larger_than,epistemic
Eighty-three is larger than fifty-five.,1,larger_than,epistemic
Ninety-five is larger than seventy-nine.,1,larger_than,epistemic
Seventy-nine is larger than ninety-three.,0,larger_than,epistemic
Ninety-one is larger than ninety-five.,0,larger_than,epistemic
Seventy-four is larger than seventy-one.,1,larger_than,epistemic
Seventy-four is larger than seventy-nine.,0,larger_than,epistemic
Sixty-six is larger than fifty-three.,1,larger_than,epistemic
Ninety-seven is larger than fifty-two.,1,larger_than,epistemic
Eighty-seven is larger than fifty-seven.,1,larger_than,epistemic
Seventy-one is larger than eighty-one.,0,larger_than,epistemic
Fifty-nine is larger than fifty-three.,1,larger_than,epistemic
Seventy-five is larger than eighty-six.,0,larger_than,epistemic
Fifty-seven is larger than sixty-four.,0,larger_than,epistemic
Sixty-nine is larger than eighty-seven.,0,larger_than,epistemic
Fifty-nine is larger than fifty-two.,1,larger_than,epistemic
Sixty-four is larger than ninety-eight.,0,larger_than,epistemic
Seventy-six is larger than ninety-nine.,0,larger_than,epistemic
Fifty-six is larger than eighty-six.,0,larger_than,epistemic
Fifty-five is larger than ninety-two.,0,larger_than,epistemic
Seventy-six is larger than sixty-three.,1,larger_than,epistemic
Seventy-two is larger than ninety-nine.,0,larger_than,epistemic
Eighty-six is larger than sixty-one.,1,larger_than,epistemic
Sixty-four is larger than eighty-eight.,0,larger_than,epistemic
Sixty-nine is larger than ninety-three.,0,larger_than,epistemic
